kpi,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,4.64,7.37,15.55,26.32,51.28,21.43,19.42
debt_to_equity,0.6,0.66,0.66,0.8,1.0,0.73,0.14
revenue_cagr_5yr,5.0,9.0,13.0,17.0,21.0,12.87,5.7
fcf_cagr_5yr,3.71,6.76,11.1,14.82,17.32,10.3,5.97
operating_profit_margin_pct,18.0,18.0,18.0,18.0,18.0,18.0,0.0
roce_pct,7.18,10.83,18.21,29.7,44.27,21.37,13.34
pe_ratio,3.65,5.42,8.92,15.01,22.84,11.16,7.03
pb_ratio,1.59,1.98,2.4,2.98,3.93,2.54,0.79
net_profit_margin_pct,5.0,8.0,11.0,14.0,17.0,11.0,4.5
interest_coverage,3.78,6.1,9.39,14.73,23.12,12.25,9.16
